City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
81,Zhaozhou,CN,45.68,125.32,45.61,40,37,8.81,scattered clouds
82,Sinnamary,GF,5.38,-52.95,82.13,73,99,11.32,overcast clouds
83,Atbasar,KZ,51.80,68.33,61.75,36,79,8.97,broken clouds
84,Mount Gambier,AU,-37.83,140.77,60.71,100,100,4.61,fog
85,Ancud,CL,-41.87,-73.82,58.23,76,90,2.1,overcast clouds
86,Tambacounda,SN,13.75,-13.76,105.85,13,0,5.75,clear sky
87,Drymen,GB,56.07,-4.45,59.92,82,100,4.79,overcast clouds
88,Bambous Virieux,MU,-20.34,57.76,77.25,83,40,14.97,light rain
89,Sagaing,MM,21.88,95.98,94.14,31,93,2.77,overcast clouds
90,Bluff,NZ,-46.60,168.33,59.81,66,92,25.61,light rain
91,Korla,CN,41.76,86.15,59.2,13,0,9.22,clear sky
92,Portland,US,45.52,-122.68,41.16,94,54,1.99,broken clouds
93,Nemuro,JP,43.32,145.57,33.78,91,100,12.88,snow
94,Hammerfest,NO,70.66,23.68,37.85,75,100,21.85,light rain
95,San Nicolas,PH,18.17,120.60,80.51,74,20,11.5,few clouds
96,Geraldton,AU,-28.77,114.60,64.81,94,75,0.0,broken clouds
97,Conde,BR,-7.26,-34.91,87.26,62,40,8.05,scattered clouds
98,Tiksi,RU,71.69,128.87,-4.99,100,100,5.35,overcast clouds
99,Santa Fe,AR,-31.63,-60.70,72.01,44,0,8.01,light rain
100,Figeac,FR,44.75,1.92,74.77,52,0,6.76,clear sky
101,Awjilah,LY,29.11,21.29,94.69,8,94,22.03,overcast clouds
102,Kaitangata,NZ,-46.28,169.85,53.22,69,100,8.46,overcast clouds
103,Copacabana,CO,6.35,-75.51,79.0,64,75,5.75,broken clouds
104,Skjervoy,NO,70.03,20.97,39.2,73,100,8.5,overcast clouds
105,Roma,US,43.21,-75.46,60.96,31,10,5.01,clear sky
106,Monte Alegre,BR,-2.01,-54.07,83.79,72,100,4.43,overcast clouds
107,Wilmington,US,34.23,-77.94,73.0,39,9,5.01,clear sky
108,Camocim,BR,-2.90,-40.84,86.16,66,85,7.09,overcast clouds
109,Pisco,PE,-13.70,-76.22,69.85,68,0,10.36,clear sky
110,Sao Filipe,CV,14.90,-24.50,71.6,76,0,8.86,clear sky
111,Saldanha,ZA,-33.01,17.94,71.65,55,0,24.07,clear sky
112,Saint-Philippe,RE,-21.36,55.77,78.39,83,54,15.3,light rain
113,Torbay,CA,47.67,-52.73,42.89,60,40,6.91,scattered clouds
114,Grindavik,IS,63.84,-22.43,48.15,100,100,29.93,light intensity drizzle rain
115,Plettenberg Bay,ZA,-34.05,23.37,59.02,61,99,3.09,overcast clouds
116,Toronto,CA,43.70,-79.42,58.15,44,40,24.16,scattered clouds
117,Nome,US,64.50,-165.41,37.17,71,100,25.81,overcast clouds
118,Baykit,RU,61.67,96.37,33.93,99,100,0.47,overcast clouds
119,Tromso,NO,69.65,18.96,39.22,65,40,6.91,scattered clouds
120,Manor,IN,19.75,72.92,80.37,70,0,3.76,clear sky
121,Marawi,PH,8.00,124.29,68.41,92,71,1.19,broken clouds
122,Kearney,US,40.70,-99.08,32.56,27,84,13.76,broken clouds
